id,name,height,grid_id,zone_id
3202,B03202,6.0,505,200
3203,B03203,6.0,653,314
3204,B03204,6.0,468,173
3205,B03205,6.0,505,200
3206,B03206,6.0,468,173
3207,B03207,6.0,542,229
3208,B03208,6.0,542,229
3209,B03209,6.0,542,229
3210,B03210,6.0,505,200
3211,B03211,6.0,431,143
3212,B03212,6.0,653,314
3213,B03213,6.0,505,200
3214,B03214,6.0,431,143
3215,B03215,6.0,542,229
3216,B03216,6.0,431,143
3217,B03217,6.0,542,229
3218,B03218,6.0,653,314
3219,B03219,6.0,468,173
3220,B03220,6.0,653,314
3221,B03221,6.0,431,143
3222,B03222,6.0,653,314
3223,B03223,6.0,542,229
3224,B03224,6.0,542,229
3225,B03225,6.0,653,314
3226,B03226,6.0,616,287
3227,B03227,6.0,653,314
3228,B03228,6.0,616,287
3229,B03229,6.0,431,143
3230,B03230,6.0,616,287
3231,B03231,6.0,616,287
3232,B03232,6.0,653,314
3233,B03233,6.0,1504,788
3234,B03234,6.0,727,371
3235,B03235,6.0,468,173
3236,B03236,6.0,468,173
3237,B03237,6.0,1393,743
3238,B03238,6.0,653,314
3239,B03239,6.0,1393,743
3240,B03240,6.0,653,314
3241,B03241,6.0,468,173
3242,B03242,6.0,616,287
3243,B03243,6.0,542,229
3244,B03244,6.0,653,314
3245,B03245,6.0,1504,788
3246,B03246,6.0,1504,788
3247,B03247,6.0,468,173
3248,B03248,6.0,579,259
3249,B03249,6.0,616,287
3250,B03250,6.0,616,287
3251,B03251,6.0,653,314
3252,B03252,6.0,579,259
3253,B03253,6.0,468,173
3254,B03254,6.0,616,287
3255,B03255,6.0,653,314
3256,B03256,6.0,468,173
3257,B03257,6.0,468,173
3258,B03258,6.0,579,259
3259,B03259,6.0,1430,755
3260,B03260,6.0,690,342
3261,B03261,6.0,542,229
3262,B03262,6.0,505,200
3263,B03263,6.0,579,259
3264,B03264,6.0,1430,755
3265,B03265,6.0,616,287
3266,B03266,6.0,1467,772
3267,B03267,6.0,468,173
3268,B03268,6.0,653,314
3269,B03269,6.0,505,200
3270,B03270,6.0,653,314
3271,B03271,6.0,616,287
3272,B03272,6.0,505,200
3273,B03273,6.0,505,200
3274,B03274,6.0,505,200
3275,B03275,6.0,1430,755
3276,B03276,6.0,468,173
3277,B03277,6.0,653,314
3278,B03278,6.0,431,143
3279,B03279,6.0,468,173
3280,B03280,6.0,616,287
3281,B03281,6.0,505,200
3282,B03282,6.0,505,200
3283,B03283,6.0,653,314
3284,B03284,6.0,1504,788
3285,B03285,6.0,616,287
3286,B03286,6.0,1356,733
3287,B03287,6.0,468,173
3288,B03288,6.0,431,143
3289,B03289,6.0,468,173
3290,B03290,6.0,616,287
3291,B03291,6.0,468,173
3292,B03292,6.0,653,314
3293,B03293,6.0,1356,733
3294,B03294,6.0,727,371
3295,B03295,6.0,505,200
3296,B03296,6.0,616,287
3297,B03297,6.0,505,200
3298,B03298,6.0,616,287
3299,B03299,6.0,505,200
3300,B03300,6.0,653,314
3301,B03301,6.0,431,143
3302,B03302,6.0,431,143
3303,B03303,6.0,431,143
3304,B03304,6.0,653,314
3305,B03305,6.0,616,287
3306,B03306,6.0,468,173
3307,B03307,6.0,505,200
3308,B03308,6.0,505,200
3309,B03309,6.0,616,287
3310,B03310,6.0,653,314
3311,B03311,6.0,431,143
3312,B03312,6.0,616,287
3313,B03313,6.0,505,200
3314,B03314,6.0,504,199
3315,B03315,6.0,431,143
3316,B03316,6.0,616,287
3317,B03317,6.0,616,287
3318,B03318,6.0,616,287
3319,B03319,6.0,578,258
3320,B03320,6.0,652,313
3321,B03321,6.0,430,142
3322,B03322,6.0,615,286
3323,B03323,6.0,504,199
3324,B03324,6.0,616,287
3325,B03325,6.0,505,200
3326,B03326,6.0,1430,755
3327,B03327,6.0,504,199
3328,B03328,6.0,653,314
3329,B03329,6.0,652,313
3330,B03330,6.0,504,199
3331,B03331,6.0,615,286
3332,B03332,6.0,578,258
3333,B03333,6.0,615,286
3334,B03334,6.0,504,199
3335,B03335,6.0,504,199
3336,B03336,6.0,430,142
3337,B03337,6.0,1466,771
3338,B03338,6.0,504,199
3339,B03339,6.0,504,199
3340,B03340,6.0,615,286
3341,B03341,6.0,652,313
3342,B03342,6.0,504,199
3343,B03343,6.0,1392,742
3344,B03344,6.0,1392,742
3345,B03345,6.0,1392,742
3346,B03346,6.0,1392,742
3347,B03347,6.0,504,199
3348,B03348,6.0,430,142
3349,B03349,6.0,652,313
3350,B03350,6.0,504,199
3351,B03351,6.0,615,286
3352,B03352,6.0,467,172
3353,B03353,6.0,690,342
3354,B03354,6.0,504,199
3355,B03355,6.0,541,228
3356,B03356,6.0,541,228
3357,B03357,6.0,504,199
3358,B03358,6.0,615,286
3359,B03359,6.0,615,286
3360,B03360,6.0,615,286
3361,B03361,6.0,689,341
3362,B03362,6.0,467,172
3363,B03363,6.0,689,341
3364,B03364,6.0,541,228
3365,B03365,6.0,578,258
3366,B03366,6.0,504,199
3367,B03367,6.0,652,313
3368,B03368,6.0,1392,742
3369,B03369,6.0,615,286
3370,B03370,6.0,1392,742
3371,B03371,6.0,1392,742
3372,B03372,6.0,1392,742
3373,B03373,6.0,615,286
3374,B03374,6.0,504,199
3375,B03375,6.0,615,286
3376,B03376,6.0,578,258
3377,B03377,6.0,652,313
3378,B03378,6.0,541,228
3379,B03379,6.0,615,286
3380,B03380,6.0,689,341
3381,B03381,6.0,726,370
3382,B03382,6.0,504,199
3383,B03383,6.0,467,172
3384,B03384,6.0,652,313
3385,B03385,6.0,726,370
3386,B03386,6.0,615,286
3387,B03387,6.0,1392,742
3388,B03388,6.0,578,258
3389,B03389,6.0,467,172
3390,B03390,6.0,726,370
3391,B03391,6.0,1392,742
3392,B03392,6.0,467,172
3393,B03393,6.0,578,258
3394,B03394,6.0,1392,742
3395,B03395,6.0,578,258
3396,B03396,6.0,467,172
3397,B03397,6.0,504,199
3398,B03398,6.0,689,341
3399,B03399,6.0,1392,742
3400,B03400,6.0,1392,742
3401,B03401,6.0,1429,754
3402,B03402,6.0,504,199
3403,B03403,6.0,689,341
3404,B03404,6.0,652,313
3405,B03405,6.0,615,286
3406,B03406,6.0,689,341
3407,B03407,6.0,726,370
3408,B03408,6.0,1392,742
3409,B03409,6.0,504,199
3410,B03410,6.0,615,286
3411,B03411,6.0,578,258
3412,B03412,6.0,615,286
3413,B03413,6.0,726,370
3414,B03414,6.0,726,370
3415,B03415,6.0,1429,754
3416,B03416,6.0,652,313
3417,B03417,6.0,504,199
3418,B03418,6.0,689,341
3419,B03419,6.0,541,228
3420,B03420,6.0,726,370
3421,B03421,6.0,652,313
3422,B03422,6.0,1392,742
3423,B03423,6.0,393,114
3424,B03424,6.0,689,341
3425,B03425,6.0,615,286
3426,B03426,6.0,541,228
3427,B03427,6.0,689,341
3428,B03428,6.0,504,199
3429,B03429,6.0,541,228
3430,B03430,6.0,504,199
3431,B03431,6.0,652,313
3432,B03432,6.0,615,286
3433,B03433,6.0,726,370
3434,B03434,6.0,541,228
3435,B03435,6.0,689,341
3436,B03436,6.0,652,313
3437,B03437,6.0,578,258
3438,B03438,6.0,615,286
3439,B03439,6.0,504,199
3440,B03440,6.0,615,286
3441,B03441,6.0,541,228
3442,B03442,6.0,578,258
3443,B03443,6.0,541,228
3444,B03444,6.0,615,286
3445,B03445,6.0,541,228
3446,B03446,6.0,726,370
3447,B03447,6.0,726,370
3448,B03448,6.0,504,199
3449,B03449,6.0,1392,742
3450,B03450,6.0,1392,742
3451,B03451,6.0,615,286
3452,B03452,6.0,652,313
3453,B03453,6.0,467,172
3454,B03454,6.0,578,258
3455,B03455,6.0,615,286
3456,B03456,6.0,541,228
3457,B03457,6.0,541,228
3458,B03458,6.0,689,341
3459,B03459,6.0,615,286
3460,B03460,6.0,1392,742
3461,B03461,6.0,504,199
3462,B03462,6.0,615,286
3463,B03463,6.0,578,258
3464,B03464,6.0,504,199
3465,B03465,6.0,615,286
3466,B03466,6.0,504,199
3467,B03467,6.0,726,370
3468,B03468,6.0,467,172
3469,B03469,6.0,1503,787
3470,B03470,6.0,615,286
3471,B03471,6.0,615,286
3472,B03472,6.0,504,199
3473,B03473,6.0,689,341
3474,B03474,6.0,504,199
3475,B03475,6.0,615,286
3476,B03476,6.0,615,286
3477,B03477,6.0,1429,754
3478,B03478,6.0,578,258
3479,B03479,6.0,1392,742
3480,B03480,6.0,1392,742
3481,B03481,6.0,652,313
3482,B03482,6.0,1466,771
3483,B03483,6.0,1466,771
3484,B03484,6.0,467,172
3485,B03485,6.0,504,199
3486,B03486,6.0,615,286
3487,B03487,6.0,1392,742
3488,B03488,6.0,689,341
3489,B03489,6.0,615,286
3490,B03490,6.0,615,286
3491,B03491,6.0,467,172
3492,B03492,6.0,615,286
3493,B03493,6.0,1392,742
3494,B03494,6.0,504,199
3495,B03495,6.0,467,172
3496,B03496,6.0,615,286
3497,B03497,6.0,504,199
3498,B03498,6.0,726,370
3499,B03499,6.0,541,228
3500,B03500,6.0,615,286
3501,B03501,6.0,578,258
3502,B03502,6.0,763,397
3503,B03503,6.0,726,370
3504,B03504,6.0,504,199
3505,B03505,6.0,1429,754
3506,B03506,6.0,467,172
3507,B03507,6.0,1392,742
3508,B03508,6.0,615,286
3509,B03509,6.0,763,397
3510,B03510,6.0,689,341
3511,B03511,6.0,467,172
3512,B03512,6.0,504,199
3513,B03513,6.0,726,370
3514,B03514,6.0,763,397
3515,B03515,6.0,1429,754
3516,B03516,6.0,541,228
3517,B03517,6.0,615,286
3518,B03518,6.0,504,199
3519,B03519,6.0,504,199
3520,B03520,6.0,726,370
3521,B03521,6.0,689,341
3522,B03522,6.0,689,341
3523,B03523,6.0,467,172
3524,B03524,6.0,726,370
3525,B03525,6.0,615,286
3526,B03526,6.0,578,258
3527,B03527,6.0,1429,754
3528,B03528,6.0,504,199
3529,B03529,6.0,652,313
3530,B03530,6.0,1429,754
3531,B03531,6.0,652,313
3532,B03532,6.0,763,397
3533,B03533,6.0,652,313
3534,B03534,6.0,504,199
3535,B03535,6.0,504,199
3536,B03536,6.0,726,370
3537,B03537,6.0,504,199
3538,B03538,6.0,763,397
3539,B03539,6.0,726,370
3540,B03540,6.0,689,341
3541,B03541,6.0,467,172
3542,B03542,6.0,504,199
3543,B03543,6.0,504,199
3544,B03544,6.0,578,258
3545,B03545,6.0,430,142
3546,B03546,6.0,689,341
3547,B03547,6.0,689,341
3548,B03548,6.0,615,286
3549,B03549,6.0,467,172
3550,B03550,6.0,726,370
3551,B03551,6.0,689,341
3552,B03552,6.0,504,199
3553,B03553,6.0,726,370
3554,B03554,6.0,578,258
3555,B03555,6.0,615,286
3556,B03556,6.0,689,341
3557,B03557,6.0,578,258
3558,B03558,6.0,689,341
3559,B03559,6.0,467,172
3560,B03560,6.0,763,397
3561,B03561,6.0,615,286
3562,B03562,6.0,578,258
3563,B03563,6.0,467,172
3564,B03564,6.0,763,397
3565,B03565,6.0,615,286
3566,B03566,6.0,578,258
3567,B03567,6.0,652,313
3568,B03568,6.0,689,341
3569,B03569,6.0,689,341
3570,B03570,6.0,689,341
3571,B03571,6.0,763,397
3572,B03572,6.0,615,286
3573,B03573,6.0,504,199
3574,B03574,6.0,504,199
3575,B03575,6.0,689,341
3576,B03576,6.0,504,199
3577,B03577,6.0,504,199
3578,B03578,6.0,541,228
3579,B03579,6.0,467,172
3580,B03580,6.0,578,258
3581,B03581,6.0,578,258
3582,B03582,6.0,689,341
3583,B03583,6.0,467,172
3584,B03584,6.0,763,397
3585,B03585,6.0,504,199
3586,B03586,6.0,467,172
3587,B03587,6.0,689,341
3588,B03588,6.0,504,199
3589,B03589,6.0,726,370
3590,B03590,6.0,578,258
3591,B03591,6.0,504,199
3592,B03592,6.0,467,172
3593,B03593,6.0,689,341
3594,B03594,6.0,578,258
3595,B03595,6.0,504,199
3596,B03596,6.0,578,258
3597,B03597,6.0,726,370
3598,B03598,6.0,467,172
3599,B03599,6.0,504,199
3600,B03600,6.0,652,313
3601,B03601,6.0,763,397
3602,B03602,6.0,615,286
3603,B03603,6.0,504,199
3604,B03604,6.0,615,286
3605,B03605,6.0,615,286
3606,B03606,6.0,504,199
3607,B03607,6.0,467,172
3608,B03608,6.0,467,172
3609,B03609,6.0,615,286
3610,B03610,6.0,467,172
3611,B03611,6.0,615,286
3612,B03612,6.0,578,258
