id,name,use_type
604,B00604,MULTI_RES
605,B00605,OFFICE
606,B00606,MULTI_RES
607,B00607,INDUSTRIAL
608,B00608,LAB
609,B00609,OFFICE
610,B00610,RESTAURANT
611,B00611,INDUSTRIAL
612,B00612,MULTI_RES
613,B00613,INDUSTRIAL
614,B00614,INDUSTRIAL
615,B00615,SCHOOL
616,B00616,INDUSTRIAL
617,B00617,RESTAURANT
618,B00618,INDUSTRIAL
619,B00619,INDUSTRIAL
620,B00620,INDUSTRIAL
621,B00621,MULTI_RES
622,B00622,OFFICE
623,B00623,INDUSTRIAL
624,B00624,INDUSTRIAL
625,B00625,INDUSTRIAL
626,B00626,INDUSTRIAL
627,B00627,INDUSTRIAL
628,B00628,MULTI_RES
629,B00629,INDUSTRIAL
630,B00630,SCHOOL
631,B00631,OFFICE
632,B00632,MULTI_RES
633,B00633,OFFICE
634,B00634,OFFICE
635,B00635,MULTI_RES
636,B00636,INDUSTRIAL
637,B00637,INDUSTRIAL
638,B00638,INDUSTRIAL
639,B00639,OFFICE
640,B00640,OFFICE
641,B00641,INDUSTRIAL
642,B00642,RETAIL
643,B00643,RETAIL
644,B00644,INDUSTRIAL
645,B00645,INDUSTRIAL
646,B00646,RETAIL
647,B00647,RETAIL
648,B00648,INDUSTRIAL
649,B00649,MULTI_RES
650,B00650,INDUSTRIAL
651,B00651,MULTI_RES
652,B00652,INDUSTRIAL
653,B00653,INDUSTRIAL
654,B00654,INDUSTRIAL
655,B00655,INDUSTRIAL
656,B00656,INDUSTRIAL
657,B00657,INDUSTRIAL
658,B00658,INDUSTRIAL
659,B00659,MULTI_RES
660,B00660,INDUSTRIAL
661,B00661,INDUSTRIAL
662,B00662,OFFICE
663,B00663,OFFICE
664,B00664,MULTI_RES
665,B00665,MULTI_RES
666,B00666,INDUSTRIAL
667,B00667,INDUSTRIAL
668,B00668,INDUSTRIAL
669,B00669,MULTI_RES
670,B00670,MUSEUM
671,B00671,SERVERROOM
672,B00672,MUSEUM
673,B00673,INDUSTRIAL
674,B00674,MULTI_RES
675,B00675,INDUSTRIAL
676,B00676,INDUSTRIAL
677,B00677,MULTI_RES
678,B00678,SERVERROOM
679,B00679,OFFICE
680,B00680,MULTI_RES
681,B00681,LAB
682,B00682,MULTI_RES
683,B00683,LAB
684,B00684,MULTI_RES
685,B00685,MUSEUM
686,B00686,MUSEUM
687,B00687,INDUSTRIAL
688,B00688,MULTI_RES
689,B00689,MULTI_RES
690,B00690,OFFICE
691,B00691,INDUSTRIAL
692,B00692,INDUSTRIAL
693,B00693,OFFICE
694,B00694,INDUSTRIAL
695,B00695,INDUSTRIAL
696,B00696,SCHOOL
697,B00697,INDUSTRIAL
698,B00698,INDUSTRIAL
699,B00699,INDUSTRIAL
700,B00700,INDUSTRIAL
701,B00701,SCHOOL
702,B00702,INDUSTRIAL
703,B00703,SERVERROOM
704,B00704,INDUSTRIAL
705,B00705,SERVERROOM
706,B00706,INDUSTRIAL
707,B00707,INDUSTRIAL
708,B00708,INDUSTRIAL
709,B00709,INDUSTRIAL
710,B00710,INDUSTRIAL
711,B00711,INDUSTRIAL
712,B00712,OFFICE
713,B00713,INDUSTRIAL
714,B00714,INDUSTRIAL
715,B00715,INDUSTRIAL
716,B00716,INDUSTRIAL
717,B00717,INDUSTRIAL
718,B00718,GYM
719,B00719,INDUSTRIAL
720,B00720,INDUSTRIAL
721,B00721,INDUSTRIAL
722,B00722,INDUSTRIAL
723,B00723,MULTI_RES
724,B00724,INDUSTRIAL
725,B00725,INDUSTRIAL
726,B00726,RETAIL
727,B00727,INDUSTRIAL
728,B00728,INDUSTRIAL
729,B00729,INDUSTRIAL
730,B00730,MULTI_RES
731,B00731,INDUSTRIAL
732,B00732,INDUSTRIAL
733,B00733,INDUSTRIAL
734,B00734,INDUSTRIAL
735,B00735,INDUSTRIAL
736,B00736,INDUSTRIAL
737,B00737,INDUSTRIAL
738,B00738,INDUSTRIAL
739,B00739,INDUSTRIAL
740,B00740,INDUSTRIAL
741,B00741,INDUSTRIAL
742,B00742,INDUSTRIAL
743,B00743,OFFICE
744,B00744,INDUSTRIAL
745,B00745,INDUSTRIAL
746,B00746,INDUSTRIAL
747,B00747,RESTAURANT
748,B00748,INDUSTRIAL
749,B00749,INDUSTRIAL
750,B00750,INDUSTRIAL
751,B00751,MULTI_RES
752,B00752,INDUSTRIAL
753,B00753,INDUSTRIAL
754,B00754,INDUSTRIAL
755,B00755,FOODSTORE
756,B00756,INDUSTRIAL
757,B00757,INDUSTRIAL
758,B00758,MULTI_RES
759,B00759,OFFICE
760,B00760,INDUSTRIAL
761,B00761,INDUSTRIAL
762,B00762,FOODSTORE
763,B00763,OFFICE
764,B00764,INDUSTRIAL
765,B00765,MULTI_RES
766,B00766,OFFICE
767,B00767,OFFICE
768,B00768,INDUSTRIAL
769,B00769,MULTI_RES
770,B00770,MULTI_RES
771,B00771,MULTI_RES
772,B00772,SCHOOL
773,B00773,INDUSTRIAL
774,B00774,SCHOOL
775,B00775,INDUSTRIAL
776,B00776,INDUSTRIAL
777,B00777,OFFICE
778,B00778,INDUSTRIAL
779,B00779,INDUSTRIAL
780,B00780,MULTI_RES
781,B00781,INDUSTRIAL
782,B00782,INDUSTRIAL
783,B00783,MULTI_RES
784,B00784,INDUSTRIAL
785,B00785,FOODSTORE
786,B00786,INDUSTRIAL
787,B00787,MULTI_RES
788,B00788,OFFICE
789,B00789,INDUSTRIAL
790,B00790,RETAIL
791,B00791,OFFICE
792,B00792,INDUSTRIAL
793,B00793,INDUSTRIAL
794,B00794,OFFICE
795,B00795,INDUSTRIAL
796,B00796,OFFICE
797,B00797,INDUSTRIAL
798,B00798,MULTI_RES
799,B00799,SERVERROOM
800,B00800,RETAIL
801,B00801,MULTI_RES
802,B00802,INDUSTRIAL
803,B00803,MULTI_RES
804,B00804,OFFICE
805,B00805,INDUSTRIAL
806,B00806,INDUSTRIAL
807,B00807,INDUSTRIAL
808,B00808,OFFICE
809,B00809,OFFICE
810,B00810,OFFICE
811,B00811,OFFICE
812,B00812,OFFICE
813,B00813,OFFICE
814,B00814,MULTI_RES
815,B00815,MULTI_RES
816,B00816,INDUSTRIAL
817,B00817,MULTI_RES
818,B00818,SCHOOL
819,B00819,MULTI_RES
820,B00820,MULTI_RES
821,B00821,MULTI_RES
822,B00822,MULTI_RES
823,B00823,MULTI_RES
824,B00824,INDUSTRIAL
825,B00825,SERVERROOM
826,B00826,INDUSTRIAL
827,B00827,INDUSTRIAL
828,B00828,INDUSTRIAL
829,B00829,MULTI_RES
830,B00830,SERVERROOM
831,B00831,INDUSTRIAL
832,B00832,INDUSTRIAL
833,B00833,MULTI_RES
834,B00834,OFFICE
835,B00835,MULTI_RES
836,B00836,MULTI_RES
837,B00837,OFFICE
838,B00838,RETAIL
839,B00839,MULTI_RES
840,B00840,INDUSTRIAL
841,B00841,MULTI_RES
842,B00842,RETAIL
843,B00843,MULTI_RES
844,B00844,MULTI_RES
845,B00845,MULTI_RES
846,B00846,INDUSTRIAL
847,B00847,OFFICE
848,B00848,RESTAURANT
849,B00849,RESTAURANT
850,B00850,INDUSTRIAL
851,B00851,MULTI_RES
852,B00852,RESTAURANT
853,B00853,RESTAURANT
854,B00854,INDUSTRIAL
855,B00855,INDUSTRIAL
856,B00856,INDUSTRIAL
857,B00857,MULTI_RES
858,B00858,INDUSTRIAL
859,B00859,INDUSTRIAL
860,B00860,INDUSTRIAL
861,B00861,INDUSTRIAL
862,B00862,MULTI_RES
863,B00863,INDUSTRIAL
864,B00864,INDUSTRIAL
865,B00865,INDUSTRIAL
866,B00866,INDUSTRIAL
867,B00867,INDUSTRIAL
868,B00868,INDUSTRIAL
869,B00869,MULTI_RES
870,B00870,INDUSTRIAL
871,B00871,INDUSTRIAL
872,B00872,INDUSTRIAL
873,B00873,OFFICE
874,B00874,INDUSTRIAL
875,B00875,OFFICE
876,B00876,OFFICE
877,B00877,OFFICE
878,B00878,OFFICE
879,B00879,OFFICE
880,B00880,OFFICE
881,B00881,INDUSTRIAL
882,B00882,MULTI_RES
883,B00883,OFFICE
884,B00884,OFFICE
885,B00885,INDUSTRIAL
886,B00886,INDUSTRIAL
887,B00887,INDUSTRIAL
888,B00888,INDUSTRIAL
889,B00889,INDUSTRIAL
890,B00890,INDUSTRIAL
891,B00891,INDUSTRIAL
892,B00892,INDUSTRIAL
893,B00893,MULTI_RES
894,B00894,INDUSTRIAL
895,B00895,INDUSTRIAL
896,B00896,MULTI_RES
897,B00897,MULTI_RES
898,B00898,MULTI_RES
899,B00899,MULTI_RES
900,B00900,OFFICE
901,B00901,INDUSTRIAL
902,B00902,INDUSTRIAL
903,B00903,MULTI_RES
904,B00904,OFFICE
905,B00905,MULTI_RES
906,B00906,MULTI_RES
907,B00907,INDUSTRIAL
908,B00908,MULTI_RES
909,B00909,MULTI_RES
910,B00910,OFFICE
911,B00911,INDUSTRIAL
912,B00912,MULTI_RES
913,B00913,MULTI_RES
914,B00914,INDUSTRIAL
915,B00915,MULTI_RES
916,B00916,OFFICE
917,B00917,OFFICE
918,B00918,RESTAURANT
919,B00919,OFFICE
920,B00920,INDUSTRIAL
921,B00921,RESTAURANT
922,B00922,INDUSTRIAL
923,B00923,INDUSTRIAL
924,B00924,INDUSTRIAL
925,B00925,INDUSTRIAL
926,B00926,OFFICE
927,B00927,MULTI_RES
928,B00928,MULTI_RES
929,B00929,RESTAURANT
930,B00930,MULTI_RES
931,B00931,MULTI_RES
932,B00932,MULTI_RES
933,B00933,MULTI_RES
934,B00934,MULTI_RES
935,B00935,MULTI_RES
936,B00936,OFFICE
937,B00937,MULTI_RES
938,B00938,SERVERROOM
939,B00939,INDUSTRIAL
940,B00940,MULTI_RES
941,B00941,MULTI_RES
942,B00942,INDUSTRIAL
943,B00943,LAB
944,B00944,MULTI_RES
945,B00945,INDUSTRIAL
946,B00946,INDUSTRIAL
947,B00947,LAB
948,B00948,MULTI_RES
949,B00949,OFFICE
950,B00950,MULTI_RES
951,B00951,INDUSTRIAL
952,B00952,OFFICE
953,B00953,MULTI_RES
954,B00954,INDUSTRIAL
955,B00955,INDUSTRIAL
956,B00956,MULTI_RES
957,B00957,OFFICE
958,B00958,MULTI_RES
