id,name,standard
564,B00564,STANDARD1
565,B00565,STANDARD1
566,B00566,STANDARD5
567,B00567,STANDARD1
568,B00568,STANDARD1
569,B00569,STANDARD1
570,B00570,STANDARD1
571,B00571,STANDARD1
572,B00572,STANDARD1
573,B00573,STANDARD2
574,B00574,STANDARD1
575,B00575,STANDARD1
576,B00576,STANDARD1
577,B00577,STANDARD2
578,B00578,STANDARD1
579,B00579,STANDARD1
580,B00580,STANDARD1
581,B00581,STANDARD1
582,B00582,STANDARD3
583,B00583,STANDARD1
584,B00584,STANDARD1
585,B00585,STANDARD1
586,B00586,STANDARD1
587,B00587,STANDARD1
588,B00588,STANDARD1
589,B00589,STANDARD1
590,B00590,STANDARD1
591,B00591,STANDARD4
592,B00592,STANDARD1
593,B00593,STANDARD1
594,B00594,STANDARD1
595,B00595,STANDARD2
596,B00596,STANDARD1
597,B00597,STANDARD2
598,B00598,STANDARD1
599,B00599,STANDARD1
600,B00600,STANDARD1
601,B00601,STANDARD1
602,B00602,STANDARD1
603,B00603,STANDARD4
604,B00604,STANDARD1
605,B00605,STANDARD2
606,B00606,STANDARD1
607,B00607,STANDARD1
608,B00608,STANDARD5
609,B00609,STANDARD2
610,B00610,STANDARD3
611,B00611,STANDARD1
612,B00612,STANDARD2
613,B00613,STANDARD1
614,B00614,STANDARD1
615,B00615,STANDARD1
616,B00616,STANDARD1
617,B00617,STANDARD1
618,B00618,STANDARD1
619,B00619,STANDARD2
620,B00620,STANDARD2
621,B00621,STANDARD3
622,B00622,STANDARD3
623,B00623,STANDARD1
624,B00624,STANDARD1
625,B00625,STANDARD1
626,B00626,STANDARD2
627,B00627,STANDARD1
628,B00628,STANDARD1
629,B00629,STANDARD1
630,B00630,STANDARD2
631,B00631,STANDARD1
632,B00632,STANDARD1
633,B00633,STANDARD2
634,B00634,STANDARD3
635,B00635,STANDARD5
636,B00636,STANDARD1
637,B00637,STANDARD2
638,B00638,STANDARD2
639,B00639,STANDARD3
640,B00640,STANDARD1
641,B00641,STANDARD1
642,B00642,STANDARD4
643,B00643,STANDARD4
644,B00644,STANDARD2
645,B00645,STANDARD5
646,B00646,STANDARD4
647,B00647,STANDARD1
648,B00648,STANDARD1
649,B00649,STANDARD2
650,B00650,STANDARD1
651,B00651,STANDARD1
652,B00652,STANDARD1
653,B00653,STANDARD3
654,B00654,STANDARD1
655,B00655,STANDARD3
656,B00656,STANDARD2
657,B00657,STANDARD1
658,B00658,STANDARD5
659,B00659,STANDARD1
660,B00660,STANDARD1
661,B00661,STANDARD5
662,B00662,STANDARD3
663,B00663,STANDARD3
664,B00664,STANDARD3
665,B00665,STANDARD1
666,B00666,STANDARD3
667,B00667,STANDARD1
668,B00668,STANDARD3
669,B00669,STANDARD1
670,B00670,STANDARD4
671,B00671,STANDARD4
672,B00672,STANDARD5
673,B00673,STANDARD1
674,B00674,STANDARD5
675,B00675,STANDARD3
676,B00676,STANDARD1
677,B00677,STANDARD2
678,B00678,STANDARD1
679,B00679,STANDARD2
680,B00680,STANDARD1
681,B00681,STANDARD3
682,B00682,STANDARD1
683,B00683,STANDARD3
684,B00684,STANDARD1
685,B00685,STANDARD2
686,B00686,STANDARD2
687,B00687,STANDARD1
688,B00688,STANDARD2
689,B00689,STANDARD1
690,B00690,STANDARD2
691,B00691,STANDARD3
