id,name,x,y,height,floor_area,perimeter
15935,B15935,120.37257826531818,31.528207659851684,9.0,4582.395925234072,305.4831079778277
15936,B15936,120.39046145333371,31.52839562898342,9.0,2875.1512810736895,215.2692997514819
15937,B15937,120.3784660497346,31.528624183686347,9.0,482.81071981042624,101.83238187350612
15938,B15938,120.36975034312363,31.528468937997346,9.0,2135.748613089323,201.85511489759892
15939,B15939,120.36123534925065,31.52868273114989,9.0,191.11783299036324,71.33854180284217
15940,B15940,120.37842029555225,31.5287680261362,9.0,599.4887909814715,109.72306724738228
15941,B15941,120.36642395649484,31.528766806230994,9.0,540.3485113307834,97.82200344568301
15942,B15942,120.37487776085104,31.528640980176082,9.0,2022.354704476893,200.38484698937046
15943,B15943,120.36997974455075,31.528679666733925,9.0,1229.338522799313,164.32406884839327
15944,B15944,120.3603890174242,31.52879008942448,9.0,700.9650523394812,172.47170988709595
15945,B15945,120.37794173721147,31.52887232439245,9.0,704.9576353430748,116.5933103419986
15946,B15946,120.38032192133967,31.528834711436097,9.0,1431.9183295816183,183.7738053592358
15947,B15947,120.3782495956955,31.52904030811945,9.0,397.2264818549156,84.22893055498952
15948,B15948,120.35962433368081,31.528939910082872,9.0,780.2075251042843,127.58779355206792
15949,B15949,120.37456890861742,31.528959910332023,9.0,1953.6903466694057,197.7594750487484
15950,B15950,120.36367151070651,31.529087760296164,9.0,1037.4654834717512,137.89746609241647
15951,B15951,120.36258943866558,31.529073357099143,9.0,1792.0951697267592,177.81571929085527
15952,B15952,120.36115671090838,31.5292294788851,9.0,1385.877580434084,174.7348228743764
15953,B15953,120.37080555697646,31.529358672359763,9.0,878.900718472898,125.08525037797327
15954,B15954,120.38011901180153,31.52922303813812,9.0,3285.227249801159,246.8353742500321
15955,B15955,120.37424878810836,31.529279775022236,9.0,1975.141626343131,198.38103743718577
15956,B15956,120.38126501653697,31.529400336229422,9.0,660.5502387173474,147.45460255553795
15957,B15957,120.36935115556703,31.529672557145265,9.0,50.720444701611996,28.617417077775833
15958,B15958,120.36097594136719,31.52949290399677,9.0,2202.473124369979,195.1470463899627
15959,B15959,120.35927169118352,31.529491507766064,9.0,3006.1223750673234,219.9067118947577
15960,B15960,120.37515713104598,31.5295519153844,9.0,2766.055772356689,213.37966850387255
15961,B15961,120.39002329206862,31.52960304582512,9.0,2653.895299628377,206.7019539614289
15962,B15962,120.3739322246629,31.529602810148155,9.0,2044.0140291787684,200.30554576568872
15963,B15963,120.38110716182346,31.529826820027676,9.0,3138.930367618799,239.58076601978212
15964,B15964,120.39375814566151,31.529731727160442,9.0,5790.336365055293,320.28084049465184
15965,B15965,120.38949162140476,31.530134313476722,9.0,1163.0361277461052,146.41145899708908
15966,B15966,120.39175222025368,31.530165796246553,9.0,2683.223444953561,207.5448368554338
15967,B15967,120.35305602126314,31.529791016651888,9.0,5067.448238372803,352.8146235109608
15968,B15968,120.36839157996648,31.53033048852238,9.0,458.1686352416873,86.01332643063867
15969,B15969,120.38022065885126,31.529958154263774,9.0,6508.804039478302,433.72802619961897
15970,B15970,120.39517898018832,31.530654726953497,9.0,310.57816469855607,74.47808046127277
15971,B15971,120.3955705680128,31.530012033678226,9.0,18743.804650951177,593.8855294466248
15972,B15972,120.35747018308338,31.530643707504126,9.0,1132.4365279525518,135.01228715900248
15973,B15973,120.34596564335297,31.530712017543696,9.0,523.6345713660121,96.90804504325948
15974,B15974,120.3934824213909,31.530768804389126,9.0,732.7799507603049,113.420197552021
15975,B15975,120.35794478093824,31.53060311442259,9.0,2819.485892696306,227.62807319154808
15976,B15976,120.38522927332382,31.530345126305274,9.0,3110.765553842939,392.7165697966673
15977,B15977,120.39301071403882,31.530768631376336,9.0,2733.6279594898224,209.5600863222635
15978,B15978,120.39089160798657,31.53065065325413,9.0,5675.29705414921,463.5721330366577
15979,B15979,120.34536691380407,31.53106115603713,9.0,371.83078261837363,84.42851584381933
15980,B15980,120.34524468225028,31.53115485319659,9.0,296.1883095270023,85.58634753838861
15981,B15981,120.36159717168401,31.531245017540623,9.0,218.6060966104269,65.32667936287744
15982,B15982,120.34585446334022,31.531069390385287,9.0,1720.8728098869324,213.9952062120102
15983,B15983,120.34564507119688,31.53129286209038,9.0,561.962993029505,110.51495239542527
15984,B15984,120.36655115064454,31.53138268652981,9.0,435.48990646004677,96.41771481003964
15985,B15985,120.34558453364373,31.53143691969103,9.0,513.0734031014144,106.43876036035607
15986,B15986,120.39272315297053,31.531404079900742,9.0,2630.682582952082,205.40612632270066
15987,B15987,120.36227510013507,31.53185059507414,9.0,351.1723865577951,92.22218435255428
15988,B15988,120.36707627646528,31.531834022390488,9.0,746.5166098326445,122.95696919836875
15989,B15989,120.3702637819026,31.531241802032387,9.0,16420.14119653098,513.8264001344369
15990,B15990,120.39688141350477,31.531892608528885,9.0,2982.6582891345024,241.53399285196622
15991,B15991,120.39248861362474,31.53220787311305,9.0,3483.5301922410727,236.4051557395775
15992,B15992,120.393917587849,31.531840020156004,9.0,10670.56298050948,441.80163025299305
15993,B15993,120.39664918096499,31.532461556637333,9.0,2165.729561045766,188.79795328149748
15994,B15994,120.39769562593457,31.532522977173066,9.0,1981.7107592821121,179.536253221104
15995,B15995,120.35790149607301,31.53270900424494,9.0,323.90717855095863,73.71713912085619
15996,B15996,120.3873304108951,31.53292854550741,9.0,484.30754064791836,98.0209994810103
15997,B15997,120.37162016369784,31.532932548243323,9.0,736.2986758947372,127.3151328420914
15998,B15998,120.39652684386267,31.532913879455407,9.0,2120.5818065702915,190.24162283521633
15999,B15999,120.38143934603899,31.533346356052732,9.0,343.4230770422146,80.62183695132448
16000,B16000,120.37123819526288,31.533294686538547,9.0,529.5646315589547,99.49195976428551
16001,B16001,120.39729821132529,31.53314909580304,9.0,2986.6340571045876,226.1831479093688
16002,B16002,120.35717068561887,31.53312906064344,9.0,4536.875299602747,278.74638055589924
16003,B16003,120.37255940977785,31.533165455374515,9.0,2865.13243589364,285.48020500059187
16004,B16004,120.36769024252114,31.53298428711919,9.0,7724.003556851298,413.10044515422294
16005,B16005,120.38182606046416,31.533571630629904,9.0,340.6013062330894,80.33910289619965
16006,B16006,120.38722405702785,31.53344004130493,9.0,895.9300490319729,153.16822002096202
16007,B16007,120.35688511150214,31.533433838597603,9.0,2288.6323561146855,228.0632275764493
16008,B16008,120.34795427129474,31.533184384102704,9.0,5266.797770380974,401.33496570589807
16009,B16009,120.39635248572023,31.533510110638883,9.0,2537.738137513399,206.17449169727627
16010,B16010,120.35777918896754,31.53355178080363,9.0,2538.7440327703953,201.89236982553632
16011,B16011,120.34512003687915,31.53326905950696,9.0,9395.431730028242,398.3853884549867
16012,B16012,120.38966338692637,31.533059534850278,9.0,19837.529910523444,613.0558823787485
16013,B16013,120.39016967603317,31.53382470817548,9.0,711.7580604627728,125.80556065922042
16014,B16014,120.34145093668941,31.5338693260517,9.0,513.88602559641,99.6792626634649
16015,B16015,120.39687583623174,31.533790020762837,9.0,2854.657185807824,219.1194754062338
16016,B16016,120.35748985501375,31.53385683207774,9.0,1423.7712675258517,160.10026714356462
16017,B16017,120.37226685432718,31.53400042849432,9.0,481.93721850030124,107.97828880123073
16018,B16018,120.39115104064486,31.53416826855792,9.0,163.74194349721074,52.339519282279014
16019,B16019,120.38710166712885,31.5340443420913,9.0,715.0806982477391,145.0458598121287
16020,B16020,120.39197303709713,31.533677766821235,9.0,12153.48659317568,487.3788300667412
16021,B16021,120.36171326886299,31.534287956646583,9.0,319.29565439373255,72.8379356645573
16022,B16022,120.34223147032314,31.534137573334334,9.0,1986.2181446105242,179.0593862149781
16023,B16023,120.35094914041369,31.534359370274053,9.0,458.47168220579624,103.36729303734496
16024,B16024,120.37798570795785,31.53423055058448,9.0,1196.613417699933,167.96041432617739
16025,B16025,120.37503409483632,31.53430937960054,9.0,1579.4203359129606,153.19670963690103
16026,B16026,120.34280292304759,31.534372573197604,9.0,524.002587094903,121.90764312054635
16027,B16027,120.34922554254057,31.534525024387822,9.0,294.6295559676364,72.3981279902249
16028,B16028,120.34263786452772,31.534516849166287,9.0,721.0487991720438,129.5994247554084
16029,B16029,120.35817198225841,31.534345385752037,9.0,3257.914219431579,280.92312522181425
16030,B16030,120.35559969987321,31.5345972367999,9.0,668.5719208344817,116.84584741891481
16031,B16031,120.35632526813956,31.53465445934117,9.0,1266.5220703072846,195.3692827981423
16032,B16032,120.36730137565668,31.53415100189757,9.0,11257.3414054811,481.60184063763245
16033,B16033,120.39135193803153,31.534694079648922,9.0,3127.1167682781816,245.64033674735452
16034,B16034,120.39342974090789,31.53449504553939,9.0,7070.256659291685,348.0267528804484
16035,B16035,120.35492604146256,31.534731548950113,9.0,803.4693624451756,148.2030652496452
16036,B16036,120.37738047784423,31.534143699440286,9.0,10838.367865666747,494.2254247014357
16037,B16037,120.38492922002725,31.53447574865863,9.0,5467.511058755219,404.7863734712484
16038,B16038,120.36405243029307,31.53441768907179,9.0,10445.979496404529,435.471521597303
16039,B16039,120.34740729626157,31.534761410052813,9.0,1770.7933448757976,174.84499739062866
16040,B16040,120.35900309694973,31.53464432650245,9.0,4290.637873381376,284.80060750594185
16041,B16041,120.35462125083949,31.534995531629686,9.0,498.71524772793055,94.47969171673827
16042,B16042,120.38043821110927,31.534488081092167,9.0,9594.912488996983,412.3577814542963
16043,B16043,120.3638987583689,31.535150351052103,9.0,476.4574184641242,110.81849815693809
16044,B16044,120.36601741898187,31.534932589641958,9.0,1034.9046360366046,240.20395451579452
16045,B16045,120.39567817486581,31.5352458557338,9.0,207.02825102210045,73.44264743885901
16046,B16046,120.38176789083327,31.535025359471636,9.0,3443.5331929600798,254.20661576428046
16047,B16047,120.35443471323384,31.535231367767814,9.0,678.0684184879065,110.69348694935061
16048,B16048,120.36521071905989,31.53530647948358,9.0,674.8324386999011,104.49368992102225
16049,B16049,120.37661091439136,31.535259363230992,9.0,3813.026948711835,286.97854713927603
16050,B16050,120.36347815865989,31.535445270006846,9.0,1738.4497888460755,174.3895589111079
16051,B16051,120.36550827653524,31.53560535819554,9.0,667.7479939684272,114.23091408356382
